NAME,LATITUDE,LONGITUDE,TYPE
Kenilworth Arena,53.51939144,-113.4309679,Arena
City Arts Centre,53.51987845,-113.5141311,Attraction
Confederation Arena,53.48020939,-113.5208371,Arena
Oliver Arena,53.54595906,-113.5265483,Arena
Telus World of Science Edmonton,53.56059901,-113.56338,Attraction
Coronation Arena,53.56146439,-113.5583308,Arena
John Janzen Nature Centre,53.50230742,-113.5726795,Attraction
Confederation Leisure Centre,53.48016165,-113.5197721,Recreation Facility
Commonwealth Stadium,53.55864854,-113.4774214,Recreation Facility
Hardisty Fitness and Leisure Centre,53.54914677,-113.4301225,Recreation Facility
Kinsmen Sports Centre,53.52672145,-113.5081455,Recreation Facility
Bonnie Doon Leisure Centre,53.52385752,-113.4544823,Recreation Facility
Valley Zoo,53.51240754,-113.5558644,Attraction
Peter Hemingway Fitness and Leisure Centre,53.55965464,-113.5609163,Recreation Facility
Jasper Place Fitness and Leisure Centre,53.52658634,-113.6041951,Recreation Facility
Bill Hunter Arena,53.52776113,-113.6041324,Arena
Terwillegar Community Recreation Centre,53.45901967,-113.5841361,Recreation Facility
John Walter Museum,53.52801021,-113.5056915,Attraction
Russ Barnes Arena,53.57497055,-113.4464072,Arena
O'Leary Fitness and Leisure Centre,53.59280263,-113.4770682,Recreation Facility
Eastglen Leisure Centre,53.56698671,-113.4452702,Recreation Facility
Grand Trunk Fitness and Leisure Centre,53.59039939,-113.5129006,Recreation Facility
Rundle Park Paddle Boat House,53.55375567,-113.3890847,Attraction
Muttart Conservatory,53.53526566,-113.4776076,Attraction
Londonderry Arena,53.60766679,-113.4452884,Arena
Castle Downs Recreation Centre,53.6161845,-113.5217212,Recreation Facility
Prince of Wales Armouries Heritage Centre,53.55426183,-113.5007443,Attraction
Commonwealth Community Recreation Centre,53.55871278,-113.4768456,Recreation Facility
Callingwood Recreation Centre,53.50560129,-113.628808,Recreation Facility
The Meadows Community Recreation Centre,53.45773521,-113.3718306,Recreation Facility
A.C.T. Aquatics and Recreation Centre,53.55621659,-113.387008,Recreation Facility
Rundle Park Mini Golf,53.5533047,-113.3895253,Attraction
Queen Elizabeth Outdoor Pool,53.52721261,-113.507153,Outdoor Pool
Glengarry Arena,53.59484065,-113.4727983,Arena
Westwood Arena,53.57475053,-113.4933594,Arena
Fort Edmonton Park,53.50351342,-113.5736302,Attraction
Kinsmen Twin Arenas,53.45091251,-113.5137384,Arena
Kinsmen Pitch & Putt,53.52569021,-113.5096374,Attraction
Mill Woods Recreation Centre,53.45715935,-113.444516,Recreation Facility
Abbottsfield Recreation Centre,53.57255433,-113.3893782,Recreation Facility
JP Annex,53.52704696,-113.6044325,Attraction
Crestwood Arena,53.53899634,-113.5760473,Arena
Michael Cameron Arena,53.54685656,-113.4242647,Arena
Fred Broadstock Outdoor Swimming Pool,53.54890962,-113.5930607,Outdoor Pool
Londonderry Fitness and Leisure Centre,53.60766223,-113.4435939,Recreation Facility
Clareview Recreation Centre,53.60294887,-113.4031623,Recreation Facility
Tipton Arena,53.51692895,-113.5116535,Arena
George S. Hughes South Side Arena,53.50825393,-113.502092,Arena
Oliver Outdoor Swimming Pool,53.54523138,-113.5266365,Outdoor Pool
Donnan Arena,53.51590098,-113.4682025,Arena
Downtown Community Arena,53.54747213,-113.4967966,Arena
Mill Creek Outdoor Swimming Pool,53.51968572,-113.474185,Outdoor Pool
