NAME,LATITUDE,LONGITUDE,TYPE
Caernarvon,53.6091251,-113.5285944,Ball Diamond
St Mark,53.56824269,-113.5540897,Ball Diamond
Hairsine,53.60499881,-113.3944506,Ball Diamond
Argyll,53.50585563,-113.4615568,Ball Diamond
John Paul I,53.47081585,-113.4262172,Ball Diamond
Rundle Heights,53.56268039,-113.3919392,Ball Diamond
Callingwood Park,53.50800451,-113.6259061,Ball Diamond
Laurier Park,53.51180428,-113.5472127,Ball Diamond
Sherwood,53.5322734,-113.5848294,Ball Diamond
Coronation Park,53.56335036,-113.5599223,Ball Diamond
John Paul I,53.47159113,-113.4254657,Ball Diamond
Eastwood,53.57418577,-113.4644319,Ball Diamond
Pollard Meadows,53.44899333,-113.4070148,Ball Diamond
Lauderdale,53.58926694,-113.5020793,Ball Diamond
Kiniski Gardens,53.47863759,-113.4088579,Ball Diamond
Fraser,53.61049255,-113.3755381,Ball Diamond
Wedgewood Heights,53.47969454,-113.6464841,Ball Diamond
Gold Bar,53.55086365,-113.4143263,Ball Diamond
Our Lady of Peace,53.5558071,-113.5976672,Ball Diamond
Kaskitayo,53.449093,-113.5106616,Ball Diamond
JA Fife,53.61279107,-113.462052,Ball Diamond
Maude Bell,53.51343299,-113.4401256,Ball Diamond
Gold Bar,53.55063524,-113.4153651,Ball Diamond
Pkdale,53.56874975,-113.4726555,Ball Diamond
Horse Hills,53.65675296,-113.3407305,Ball Diamond
St Brendan,53.52939193,-113.4246885,Ball Diamond
HE Beriault,53.51482163,-113.6078375,Ball Diamond
Ritchie,53.51128873,-113.4820081,Ball Diamond
Callingwood Park,53.50808576,-113.621447,Ball Diamond
Ellerslie Park,53.43044408,-113.4579675,Ball Diamond
Lymburn,53.5075696,-113.6466079,Ball Diamond
St Monica,53.49226494,-113.5743616,Ball Diamond
Overlander,53.5824359,-113.3886375,Ball Diamond
Glengarry,53.59527068,-113.4860042,Ball Diamond
St John Bosco,53.62089867,-113.459189,Ball Diamond
St Bernard,53.53427222,-113.4395188,Ball Diamond
Sherwood,53.53214656,-113.5842837,Ball Diamond
Lorelei,53.62326982,-113.5032347,Ball Diamond
Potter Greens,53.51828089,-113.6767223,Ball Diamond
Grace Martin,53.47010201,-113.4589402,Ball Diamond
LaPerle E,53.53299754,-113.6366639,Ball Diamond
St Francis Xavier,53.53071229,-113.6056829,Ball Diamond
Bearspaw,53.4436843,-113.5009355,Ball Diamond
RJ Scott,53.56982539,-113.4020421,Ball Diamond
Afton,53.52759961,-113.6084484,Ball Diamond
JC Bowen,53.61030525,-113.4742952,Ball Diamond
Holyrood,53.53187944,-113.4497855,Ball Diamond
Edith Rogers,53.47540546,-113.4566137,Ball Diamond
The Hamptons,53.49339331,-113.686985,Ball Diamond
St Gerard,53.5813431,-113.4701629,Ball Diamond
Katherine Therrien,53.61127834,-113.5303256,Ball Diamond
Eastglen,53.56910257,-113.4471463,Ball Diamond
Duggan,53.47192276,-113.5091111,Ball Diamond
Argyll Park,53.50580467,-113.4662966,Ball Diamond
Cumberland,53.6105869,-113.5457542,Ball Diamond
Allin Pk,53.53280859,-113.5951667,Ball Diamond
Meyokumin,53.44939214,-113.4285257,Ball Diamond
Rio Terrace,53.50954769,-113.586734,Ball Diamond
LaPerle W,53.53160147,-113.6462233,Ball Diamond
St Bernard,53.53367736,-113.4381985,Ball Diamond
Confederation,53.48199734,-113.5189295,Ball Diamond
Calder,53.58934266,-113.5258268,Ball Diamond
Hairsine,53.60441082,-113.3942307,Ball Diamond
Hollick Kenyon,53.62107587,-113.4233468,Ball Diamond
Blue Quill,53.46087882,-113.5242715,Ball Diamond
Greenview,53.4760498,-113.4274768,Ball Diamond
Floden Pk,53.5638507,-113.4044133,Ball Diamond
Sakaw,53.44268061,-113.429306,Ball Diamond
Sifton,53.59584252,-113.4092753,Ball Diamond
Maple Ridge,53.50549963,-113.3685868,Ball Diamond
Lynnwood,53.51607117,-113.5882114,Ball Diamond
Hillcrest,53.51544723,-113.6060874,Ball Diamond
St Mary,53.47540765,-113.5880297,Ball Diamond
Lady Of Fatima,53.5373416,-113.5927913,Ball Diamond
JJ Bowlen,53.60684514,-113.436146,Ball Diamond
St Patrick,53.57427369,-113.4901666,Ball Diamond
McArthur,53.59727553,-113.5487455,Ball Diamond
Minchau,53.46855217,-113.4057796,Ball Diamond
Ormsby Place,53.49852159,-113.6373061,Ball Diamond
Callingwood Park,53.50672067,-113.625287,Ball Diamond
Capilano Park,53.55994258,-113.4222298,Ball Diamond
High Park,53.55718219,-113.5858994,Ball Diamond
St Benedict,53.52533963,-113.630366,Ball Diamond
Confederation,53.48229917,-113.520125,Ball Diamond
Mill Woods Park,53.45554126,-113.4403284,Ball Diamond
Frere Antoine,53.46023658,-113.4512046,Ball Diamond
Grand Trunk,53.58889697,-113.5121971,Ball Diamond
Anne Fitzgerald,53.59426489,-113.3812945,Ball Diamond
St Richard,53.44787503,-113.4277221,Ball Diamond
McKernan,53.51350929,-113.5231936,Ball Diamond
Rundle Park,53.55914473,-113.3854414,Ball Diamond
Donnan,53.51496715,-113.4592751,Ball Diamond
Alex Taylor,53.54610248,-113.4772953,Ball Diamond
Grand Trunk,53.58852576,-113.5102205,Ball Diamond
Belmead,53.52667798,-113.6366835,Ball Diamond
Airway Park,53.56300697,-113.5154919,Ball Diamond
JC Bowen,53.61109026,-113.4741801,Ball Diamond
Mill Woods Park,53.45516701,-113.4428696,Ball Diamond
