NAME,LATITUDE,LONGITUDE,TYPE
Idylwylde Park,53.52337,-113.45212,
Jackson Heights (Annie May Jackson Park),53.48335,-113.40742,Green Shack
Skyrattler Park,53.45049,-113.52457,Green Shack
Rosenthal,53.51728,-113.69616,Green Shack
McLeod Park,53.61506,-113.44138,Pop Up Play
Zoie Gardner Park (Balwin),53.58545,-113.45059,Water Play
Meyonohk Park,53.45442,-113.45492,Green Shack
Klarvatten Park,53.63313,-113.47536,Green Shack
Terrace Heights,53.53922,-113.43597,Green Shack
Argyll,53.50525,-113.46312,Pop Up Play
Montrose Park,53.57252,-113.4328,Water Play
West Jasper Place (Arthur Elliot Park),53.53461,-113.58332,Green Shack
Rapperswill,53.63727,-113.53286,Pop Up Play
Allard Park,53.40014,-113.53417,Green Shack
Lynnwood Park,53.51624,-113.5898,Green Shack
Latitude 53 - Youth Art Show,53.54413,-113.50238,Youth Events
Miller Park,53.61283,-113.41608,Green Shack
Gariepy Park,53.49403,-113.62264,Flying Eagle
Queen Mary Park,53.55417,-113.52469,Water Play
Steinhauer Park,53.46448,-113.50474,Green Shack
Wedgewood Heights Park,53.48054,-113.64677,Pop Up Play
Ekota Park,53.4502,-113.44097,Flying Eagle
Rosssdale (Irene Parlby Park),53.53416,-113.49062,Pop Up Play
Lago Lindo Park,53.63479,-113.48742,Flying Eagle
Elmwood Park,53.58156,-113.45692,Flying Eagle
Blue Quill Estates,53.45794,-113.52491,Green Shack
Lauderdale Park,53.58857,-113.50318,Flying Eagle
Highlands Park,53.5679,-113.43343,Green Shack
Floden Park (Beverley Heights),53.56374,-113.40789,Flying Eagle
Queen Alexandra Park,53.50944,-113.50914,Green Shack
Central McDougall Park,53.55521,-113.50386,Water Play
Grandview School Park,53.49903,-113.54665,Flying Eagle
Lee Ridge,53.4714,-113.4428,Green Shack
Mayfield Park,53.55493,-113.59637,Green Shack
Rosenthal,53.51728,-113.69616,Water Play
Dovercourt Park,53.57596,-113.55784,Water Play
Wild Rose (Kitlitz Park),53.46993,-113.38504,Flying Eagle
Westmount Park,53.55498,-113.54456,Green Shack
Terwillegar Community Recreation Centre,53.45862,-113.58233,Youth Programs
Blue Quill Community League - Hoops Basketball Tournament,53.45829,-113.52483,Youth Events
Johnny Bright Sports Park (West Meadowlark),53.5293,-113.60673,Green Shack
Duggan Park,53.47321,-113.50642,Flying Eagle
Rural Northeast South Sturgeon,53.62574,-113.3286,Pop Up Play
Empire Park,53.48601,-113.50861,Flying Eagle
Kilkenny Park,53.61048,-113.4491,Green Shack
Carlton Park,53.61999,-113.55985,Green Shack
Hazeldean Park,53.50332,-113.47754,Water Play
Ritchie Park,53.51395,-113.48144,Green Shack
Secord Park,53.53375,-113.68949,Flying Eagle
Eaux Claires,53.62145,-113.48686,Green Shack
Cy Becker,53.63462,-113.40379,Pop Up Play
Meyokumin Park,53.45007,-113.42941,Green Shack
Colonel F.C. Jamieson Park (Jamieson),53.4897,-113.65144,Green Shack
Parkview Park,53.526,-113.56765,Green Shack
Zoie Gardner Park (Balwin),53.58545,-113.45059,Green Shack
Beaumaris Park,53.61609,-113.49818,Green Shack
Evansdale Park,53.6104,-113.48262,Green Shack
Aspen Gardens (Westbrook Park ),53.47549,-113.54072,Green Shack
North Glenora Park,53.55576,-113.55702,Water Play
Windsor Park,53.52354,-113.53556,Green Shack
Spruce Avenue Park,53.56542,-113.49754,Water Play
Hodgson Park,53.45838,-113.55886,Green Shack
Woodcroft (Coronation Park),53.56522,-113.5622,Green Shack
Charlesworth,53.42993,-113.43139,Green Shack
King Edward Park,53.51324,-113.46135,Water Play
Jackie Parker Park Spray Park,53.48446,-113.42448,Water Play
Mactaggart,53.43637,-113.56564,Green Shack
York Park,53.6026,-113.43184,Green Shack
Chappelle,53.40681,-113.57314,Green Shack
Newton Park,53.57509,-113.42608,Pop Up Play
Caernarvon Park,53.61106,-113.52823,Green Shack
Capilano,53.55646,-113.42272,Water Play
McKernan Park,53.51096,-113.51914,Green Shack
Greenview Park,53.54859,-113.4136,Flying Eagle
Haddow Park,53.45346,-113.59699,Water Play
Floden Park (Beverley Heights),53.56374,-113.40789,Green Shack
Hairsine Park,53.60336,-113.39027,Green Shack
Killarney Park,53.59062,-113.47501,Water Play
Giovanni Caboto Park (McCauley),53.55632,-113.48414,Flying Eagle
Caernarvon Park,53.61106,-113.52823,Flying Eagle
The Meadows Community Recreation Centre,53.45794,-113.3704,Youth Programs
