NAME,LATITUDE,LONGITUDE,TYPE
Charles Simmonds Park,53.515582,-113.531032,Playground
High Park Community League Playground,53.5573,-113.588494,Playground
Maude Belle Park,53.513822,-113.441141,Playground
St. Benedict School,53.526026,-113.63467,Playground
Fulton PIace School,53.545365,-113.425499,Playground
Gabrielle Roy School,53.530178,-113.46194,Playground
Balwin,53.59157,-113.449101,Playground
Ralph Hopp Park,53.589379,-113.445525,Playground
Granville Tot Lot,53.507325,-113.679191,Playground
Mother Teresa School,53.551993,-113.476072,Playground
Duggan School,53.472311,-113.506031,Playground
Prince Rupert School,53.56213,-113.520023,Playground
Walker Park,53.41439,-113.436689,Playground
King Edward Park,53.513596,-113.460794,Playground
MacEwan,53.429454,-113.530366,Playground
Rundle Park,53.555114,-113.386152,Playground
Belmead Park,53.525775,-113.636118,Playground
Rosslyn Playground,53.594002,-113.512077,Playground
Mt. Royal Sch,53.568424,-113.425072,Playground
St Catherine,53.556163,-113.508946,Playground
Eastwood Community League,53.571207,-113.472379,Playground
Silver Heights Park,53.53278,-113.464483,Playground
Father Lacombe,53.59079,-113.506355,Playground
Calder School Playground,53.588682,-113.526451,Playground
Rutherford Park,53.420042,-113.534372,Playground
Kinsmen Park Junior,53.52656,-113.508763,Playground
Sister Annata Brockman,53.489989,-113.68347,Playground
Lorelei Playground,53.623141,-113.501684,Playground
Kinsmen Park Senior,53.526756,-113.508922,Playground
Westridge Playground,53.506306,-113.605823,Playground
Eastwood Community League,53.570897,-113.472037,Playground
Greenfield Community League,53.473386,-113.525997,Playground
Charles Simmonds Park,53.515266,-113.530939,Playground
Kirkness School/Park,53.611877,-113.385388,Playground
Westglen,53.55495,-113.542522,Playground
High Park School Playground,53.556122,-113.586733,Playground
,53.420081,-113.535351,Playground
St Pius X,53.577433,-113.543997,Playground
Ozerna Park,53.620746,-113.448659,Playground
McKee School,53.48746,-113.509933,Playground
Terwillegar Town Residents Assoc Playground,53.453605,-113.58498,Playground
Prince Charles Playground,53.574622,-113.537437,Playground
Suder Greens,53.520937,-113.684548,Playground
Mary Finlay Park,53.543464,-113.451607,Playground
Haddow Park,53.453495,-113.597003,Playground
Violet Archer Park,53.50678,-113.513454,Playground
Kilkenny Park/CL Barnett School,53.610053,-113.450794,Playground
Parkallen,53.503661,-113.518979,Playground
St. Faith Tot Lot,53.569281,-113.483122,Playground
Kinsmen Park Senior,53.527155,-113.5093,Playground
McQueen Playground,53.555704,-113.570655,Playground
Mill Creek,53.515696,-113.480801,Playground
Kirkness School/Park,53.611715,-113.385088,Playground
Kinsmen Park Senior,53.527071,-113.50849,Playground
Windermere Park,53.427292,-113.622304,Playground
Chappelle Park,53.399405,-113.572084,Playground
Dechene Playground,53.491429,-113.637013,Playground
Mcleod Park,53.609659,-113.43092,Playground
Lauderdale Playground,53.588642,-113.503331,Playground
Castle Downs Park,53.616831,-113.525533,Playground
Coronation,53.555334,-113.560621,Playground
Sacred Heart School,53.554548,-113.486563,Playground
Pleasantview Sch,53.494989,-113.50417,Playground
Steinhauer School,53.464668,-113.504646,Playground
Monsignor Walter Fitzgerald Playground,53.505338,-113.635276,Playground
Chappelle Rope Climber,53.404037,-113.569974,Playground
Jackson Heights Park,53.483365,-113.407638,Playground
Woodcroft Tot Lot,53.567797,-113.555859,Playground
Bonnie Doon Park,53.527389,-113.470266,Playground
Abbott School,53.574913,-113.392086,Playground
Sheriff Robertson Park,53.559169,-113.466366,Playground
Miller Park,53.612813,-113.416087,Playground
Highlands Playground,53.566695,-113.433369,Playground
Allendale School,53.500923,-113.502801,Playground
Rossdale,53.530764,-113.491297,Playground
Glenora Playground,53.546365,-113.557095,Playground
Allin Park,53.532628,-113.595778,Playground
,53.596765,-113.560055,Playground
Garneau School West,53.522187,-113.514041,Playground
Nu-west Park,53.451684,-113.423905,Playground
Sifton School Park,53.594124,-113.409379,Playground
Grad's Park Playground,53.555866,-113.531347,Playground
Sifton Park Elementary School,53.594097,-113.40754,Playground
Grandin School,53.536991,-113.511658,Playground
Leger School,53.45918,-113.576806,Playground
Nor'wester Athletic Association Playground,53.425795,-113.409596,Playground
Wedgewood Heights Playground,53.480151,-113.647152,Playground
Ormsby,53.498892,-113.639234,Playground
Edmonton Chris,53.556069,-113.567873,Playground
Granite Park,53.522522,-113.507642,Playground
St. Dominic School,53.605891,-113.433586,Playground
Duggan Community League Playground,53.4733,-113.506321,Playground
Gold Bar Community League,53.548586,-113.4136,Playground
Caernarvon Tot Lot A,53.60862,-113.532915,Playground
Gold Bar Sch,53.549982,-113.413724,Playground
Ecole Notre Dame,53.523888,-113.588069,Playground
Homesteader Community League,53.586407,-113.408428,Playground
Pollard Meadows School,53.448005,-113.412261,Playground
Kittlitz Park,53.469941,-113.385028,Playground
Kiniski Gardens School,53.477801,-113.404161,Playground
Evansdale School/Park,53.610435,-113.482744,Playground
Michaels Park,53.479537,-113.448299,Playground
Windsor Park School,53.523613,-113.535521,Playground
Rundle Park,53.555327,-113.386314,Playground
Terrace Heights Park,53.543398,-113.433944,Playground
Beaumaris Park,53.616707,-113.49767,Playground
Elmwood Park Community League,53.581589,-113.456687,Playground
Delton Community League,53.579721,-113.475626,Playground
Patricia Heights Playground,53.510791,-113.603623,Playground
Alex Taylor,53.546858,-113.476602,Playground
Beaumaris Park,53.616825,-113.497885,Playground
Ambleside Rope Climber,53.430087,-113.608888,Playground
Mayliewan (St John Bosco School) Park,53.622247,-113.459056,Playground
Day Care,53.487435,-113.545421,Playground
Avonmore Park,53.51007,-113.448024,Playground
Charlesworth,53.429858,-113.431758,Playground
Academy at King Edward,53.521281,-113.489598,Playground
Blackmud Park,53.420209,-113.512656,Playground
St Stanislaus,53.473987,-113.524706,Playground
Calder School Playground,53.589043,-113.526362,Playground
Father L. Green,53.607908,-113.457418,Playground
Garneau School West,53.522205,-113.514853,Playground
Tipton Park,53.516334,-113.510176,Playground
St. Alphonsus School,53.568146,-113.466915,Playground
King Edward Park,53.513566,-113.460368,Playground
Wellington Park Playground,53.596586,-113.550727,Playground
Blue Quill West,53.456878,-113.539053,Playground
Rutherford Park,53.420256,-113.534758,Playground
Laurel Park 3,53.441387,-113.388008,Playground
Ormsby Playground,53.497482,-113.636934,Playground
Kilkenny Park/CL Barnett School,53.610445,-113.451307,Playground
Zoie Gardner Park,53.585688,-113.450485,Playground
Parkview,53.526005,-113.567652,Playground
Lorne Street Park,53.562921,-113.482378,Playground
Hay Ridge Park,53.416208,-113.572269,Playground
Fort Edmonton Park,53.502156,-113.58133,Playground
Charlesworth,53.429593,-113.431492,Playground
Killarney Park,53.59059,-113.474969,Playground
Sweetgrass School,53.463028,-113.529017,Playground
McKernan School,53.513815,-113.523301,Playground
Paisley Park,53.414424,-113.55946,Playground
Glengarry Park,53.595823,-113.477331,Playground
Empire Park Community League,53.486174,-113.509241,Playground
Westridge Playground,53.50626,-113.605273,Playground
Giovanni Caboto,53.556321,-113.484079,Playground
Garneau School East,53.522243,-113.512977,Playground
Mayliewan (St John Bosco School) Park,53.622178,-113.459293,Playground
Rosenthal,53.517437,-113.699203,Playground
Forest Heights Park,53.551001,-113.445144,Playground
,53.534491,-113.570376,Playground
Skyrattler School,53.450571,-113.524148,Playground
Magrath Heights,53.449599,-113.559665,Playground
Bonnie Doon Park,53.527387,-113.47082,Playground
Mayliewan (St John Bosco School) Park,53.622168,-113.459026,Playground
Clara Tyner School,53.530888,-113.436392,Playground
McCauley School,53.553146,-113.484037,Playground
Ambleside,53.433096,-113.603972,Playground
Miller Park,53.612424,-113.416023,Playground
Central McDougall,53.554789,-113.503686,Playground
Rideau School,53.478023,-113.504651,Playground
Glengarry Park,53.595946,-113.476317,Playground
Rideau School,53.47802,-113.504986,Playground
Rutherford Sch,53.522639,-113.468451,Playground
Brander Gardens Park,53.493683,-113.575683,Playground
Canora Park/Holy Cross School,53.547344,-113.582532,Playground
Parkdale Community League,53.562986,-113.471429,Playground
Kinsmen Park Senior,53.526911,-113.509422,Playground
St. Mary,53.475815,-113.586224,Playground
Jackie Parker Park,53.483894,-113.421488,Playground
Touchdown Playground,53.587383,-113.537617,Playground
St. Clements School,53.44593,-113.448454,Playground
Michael Strembitsky,53.413626,-113.462356,Playground
Sherbrooke Playground,53.574873,-113.548262,Playground
Strathearn Park,53.529613,-113.46107,Playground
Allendale School,53.500732,-113.502884,Playground
Castle Downs Park,53.616727,-113.525637,Playground
Ellingson Park,53.502942,-113.517906,Playground
Ambleside,53.432801,-113.603008,Playground
Matt Berry,53.621892,-113.431211,Playground
Keheewin School,53.448382,-113.503013,Playground
Bishop Savaryn School,53.621621,-113.507141,Playground
Arthur Elliott Park Playground,53.533529,-113.584401,Playground
William Hawrelak Park,53.526744,-113.544062,Playground
Groat Playground,53.550135,-113.53883,Playground
Balwin Park,53.587344,-113.456089,Playground
Bellevue School,53.568424,-113.449031,Playground
Rosslyn Tot Playground,53.598178,-113.498446,Playground
Belgravia Community League,53.50946,-113.530851,Playground
Secord Playground,53.533555,-113.691708,Playground
Keswick,53.419665,-113.641236,Playground
