NAME,LATITUDE,LONGITUDE,TYPE
Abbottsfield - Penny McKee Branch,53.5704509,-113.3915179,Public Library
Calder Branch,53.5922064,-113.5385101,Public Library
Capilano Branch,53.5378963,-113.4199269,Public Library
Castle Downs Branch,53.6157356,-113.5166333,Public Library
Clareview Branch,53.601302,-113.401769,Public Library
MacEwan University Lending Machine,53.546693,-113.504871,Public Library
Highlands Branch,53.5703902,-113.4446929,Public Library
Idylwylde Branch,53.5235044,-113.4593749,Public Library
Jasper Place Branch,53.5232259,-113.5903997,Public Library
Lois Hole Library,53.5037705,-113.6260742,Public Library
Londonderry Branch,53.603432,-113.445778,Public Library
McConachie,53.6277509,-113.4118601,Public Library
Meadows Branch,53.467536,-113.36887,Public Library
Mill Woods Branch,53.4554447,-113.4343797,Public Library
Riverbend Branch,53.4683942,-113.5837689,Public Library
Sprucewood Branch,53.5666547,-113.4871741,Public Library
Stanley A. Milner Library,53.543202,-113.489606,Public Library
Strathcona Branch,53.5194554,-113.4974797,Public Library
West Henday Promenade,53.523494,-113.667342,Public Library
Whitemud Crossing Branch,53.4794861,-113.5041223,Public Library
Woodcroft Branch,53.5637555,-113.5538643,Public Library
