NAME,LATITUDE,LONGITUDE,TYPE
Athlone,53.58896091,-113.5454621,Soccer Field
St Andrew,53.56319883,-113.5426211,Soccer Field
Lymburn,53.50643049,-113.6451023,Soccer Field
Blue Quill,53.45913992,-113.5217768,Soccer Field
Kernohan,53.5916061,-113.3814335,Soccer Field
Bannerman,53.60435699,-113.3801428,Soccer Field
Edmonton Minor Soccer Association,53.42814846,-113.4077175,Soccer Field
St Kevin,53.53970273,-113.4560928,Soccer Field
Glenora,53.54356979,-113.554932,Soccer Field
Edmonton Soccer Centre South,53.49756464,-113.433345,Soccer Field
Britannia,53.54776237,-113.5972273,Soccer Field
St Mary,53.47501251,-113.5860169,Soccer Field
Summerlea,53.52656449,-113.6238853,Soccer Field
Glengarry,53.59607128,-113.4853769,Soccer Field
LaPerle W,53.53246042,-113.6474428,Soccer Field
Ellerslie Park,53.43040737,-113.4599837,Soccer Field
M Lavallee,53.52550223,-113.4750119,Soccer Field
Dan Knott,53.44548178,-113.4563299,Soccer Field
Wild Rose,53.47137687,-113.3804735,Soccer Field
River Valley,53.53329509,-113.4939924,Soccer Field
Elsinore,53.64147764,-113.5080381,Soccer Field
Henderson Est,53.46824542,-113.5961269,Soccer Field
Terwillegar Towne,53.44887829,-113.5741559,Soccer Field
Overlander,53.58082865,-113.3874391,Soccer Field
Oxford,53.61882956,-113.5471966,Soccer Field
LaPerle E,53.5320859,-113.6342588,Soccer Field
Ermineskin,53.45949052,-113.5047321,Soccer Field
Delwood,53.5953664,-113.4554058,Soccer Field
Parkallen,53.50396721,-113.5183329,Soccer Field
Delton,53.57575781,-113.4788592,Soccer Field
Jackson Heights,53.48276737,-113.406268,Soccer Field
St Lucy,53.62329452,-113.5275916,Soccer Field
Elsinore,53.64227656,-113.508383,Soccer Field
Menisa,53.44385829,-113.4483002,Soccer Field
Allendale,53.50042443,-113.5041139,Soccer Field
Avalon,53.49317136,-113.525435,Soccer Field
St Martha,53.50643819,-113.6357885,Soccer Field
Edmonton Soccer Centre South,53.49755636,-113.4316169,Soccer Field
Steele Heights,53.60947662,-113.4280402,Soccer Field
York Park,53.60110398,-113.4337456,Soccer Field
Hillview,53.47018818,-113.4282719,Soccer Field
St Bernard,53.53432802,-113.4397036,Soccer Field
Talmud Torah,53.4991684,-113.6214331,Soccer Field
Blue Quill,53.45977257,-113.5243552,Soccer Field
Leger,53.46107512,-113.5852034,Soccer Field
St Rose,53.52120478,-113.5684635,Soccer Field
Avalon,53.49239542,-113.5232594,Soccer Field
Kiniski Gardens,53.4794424,-113.406193,Soccer Field
St Boniface,53.47796604,-113.5374501,Soccer Field
Ellerslie Park,53.42927075,-113.4573041,Soccer Field
Edmonton Minor Soccer Association,53.43024921,-113.4070686,Soccer Field
Matt Berry,53.62177853,-113.4325786,Soccer Field
Avonmore,53.51201633,-113.4501708,Soccer Field
Casselman,53.61202487,-113.4187525,Soccer Field
Grandview,53.49891894,-113.5445525,Soccer Field
St Leo,53.57659682,-113.4260522,Soccer Field
Castle Downs,53.61944423,-113.5194809,Soccer Field
Malmo,53.48387762,-113.531715,Soccer Field
Kiniski Gardens,53.47912131,-113.4067841,Soccer Field
Minchau,53.46821901,-113.4069678,Soccer Field
Dunluce,53.62172544,-113.5277587,Soccer Field
St Bernadette,53.57336649,-113.4016623,Soccer Field
Crawford Plains,53.44261774,-113.4049947,Soccer Field
Woodcroft,53.56723293,-113.5603367,Soccer Field
Pkdale,53.56877458,-113.4720372,Soccer Field
Laurier Heights,53.51609571,-113.566855,Soccer Field
M A Kostek,53.48990992,-113.6485828,Soccer Field
Poplar Park,53.62593082,-113.4687078,Soccer Field
Bellevue,53.56819676,-113.4482941,Soccer Field
Grandview,53.49978237,-113.5444726,Soccer Field
Brander Gardens,53.49290185,-113.5771902,Soccer Field
Strathearn,53.53153333,-113.4636108,Soccer Field
Clareview Park,53.60421481,-113.4045282,Soccer Field
Beaumaris,53.61666897,-113.4986328,Soccer Field
Weinlos,53.46029745,-113.41374,Soccer Field
McArthur,53.59651998,-113.5511533,Soccer Field
Elizabeth Finch,53.62055317,-113.5582217,Soccer Field
Parkview,53.52584042,-113.5677351,Soccer Field
Glastonbury,53.50419909,-113.6730863,Soccer Field
St Angela,53.59625672,-113.5516943,Soccer Field
St Elizabeth,53.4694381,-113.4519857,Soccer Field
St Mary,53.47540273,-113.586433,Soccer Field
Virginia Pk,53.56103671,-113.4495815,Soccer Field
St Lucy,53.62463533,-113.5278771,Soccer Field
Mother Margaret Mary,53.45991866,-113.5796475,Soccer Field
St Martin,53.48887099,-113.5220055,Soccer Field
Sakaw,53.44270615,-113.4300939,Soccer Field
Greenfield,53.47187422,-113.5241247,Soccer Field
Tevie Miller,53.50039129,-113.5261222,Soccer Field
S Bruce Smith,53.49020901,-113.6397744,Soccer Field
St Augustine,53.47441186,-113.5067386,Soccer Field
Ermineskin,53.45731879,-113.5047974,Soccer Field
,53.56639076,-113.5385834,Soccer Field
Foote Field,53.50403946,-113.525975,Soccer Field
St Bonaventure,53.60509582,-113.3882271,Soccer Field
Silver Berry W,53.45905141,-113.3857648,Soccer Field
Our Lady Prair,53.49944687,-113.6271708,Soccer Field
Lansdowne,53.4861928,-113.5443535,Soccer Field
Silver Berry E,53.45748716,-113.3787233,Soccer Field
Westridge,53.50680179,-113.6032621,Soccer Field
Father Lacombe,53.5905133,-113.5054638,Soccer Field
Hairsine,53.60453019,-113.3919885,Soccer Field
Clara Tyner,53.53187592,-113.4366789,Soccer Field
Malmo,53.48474203,-113.5316082,Soccer Field
Coronation,53.55558817,-113.5590718,Soccer Field
Thorncliffe,53.51697068,-113.622188,Soccer Field
St Dominic,53.60726473,-113.4326628,Soccer Field
Silver Berry E,53.45843853,-113.3795179,Soccer Field
Pollard Meadows,53.4490911,-113.4122417,Soccer Field
Lymburn,53.50699138,-113.6436816,Soccer Field
St Theresa,53.45891988,-113.5294622,Soccer Field
Club Soccer,53.42874158,-113.413222,Soccer Field
Sakaw,53.44186912,-113.4289823,Soccer Field
Carlisle Park,53.60445726,-113.5247092,Soccer Field
Confederation,53.48252743,-113.520396,Soccer Field
Woodcroft,53.56659858,-113.5596839,Soccer Field
Callingwood Park,53.50797768,-113.6216733,Soccer Field
Bellevue,53.56875454,-113.4485116,Soccer Field
Malcolm Tweedle,53.47750849,-113.4553875,Soccer Field
Ellerslie Park,53.43049306,-113.4587376,Soccer Field
Dovercourt,53.5749666,-113.562119,Soccer Field
St John Bosco,53.62163306,-113.4615835,Soccer Field
Belmont,53.5944592,-113.3934555,Soccer Field
Kensington,53.59639266,-113.5297685,Soccer Field
Richard Secord,53.47702632,-113.5333682,Soccer Field
Dunluce,53.62168424,-113.5264261,Soccer Field
Brintnell,53.61954203,-113.4069492,Soccer Field
Velma E Baker,53.47976905,-113.383698,Soccer Field
Belgravia,53.50951193,-113.5325385,Soccer Field
Northmount,53.60380875,-113.4778631,Soccer Field
Foote Field,53.50403043,-113.5247174,Soccer Field
St. Kateri,53.4762732,-113.4031022,Soccer Field
Johnny Bright,53.41957918,-113.5334077,Soccer Field
St Matthew,53.59128621,-113.4754022,Soccer Field
Riverbend,53.49235169,-113.5778514,Soccer Field
St Paul,53.53343339,-113.5721595,Soccer Field
Bisset,53.46014848,-113.3998443,Soccer Field
Daly Grove,53.44967186,-113.401344,Soccer Field
St Rose,53.52115194,-113.5690011,Soccer Field
RJ Scott,53.56927302,-113.4022098,Soccer Field
Club Soccer,53.42649613,-113.4140751,Soccer Field
Rosslyn,53.59384494,-113.5148869,Soccer Field
John Paul I,53.47108679,-113.4267516,Soccer Field
Eaux Claires,53.62176544,-113.4843029,Soccer Field
Klarvatten,53.63433706,-113.4747948,Soccer Field
Ormsby Place,53.49892259,-113.6375059,Soccer Field
John Paul I,53.47147905,-113.4274005,Soccer Field
Edmonton Minor Soccer Association,53.42920956,-113.4070761,Soccer Field
Dickinsfield,53.60534422,-113.4789651,Soccer Field
Archbishop Joseph MacNeil,53.46040844,-113.5787702,Soccer Field
McKernan,53.51292127,-113.5230301,Soccer Field
Lago Lindo,53.6357961,-113.4858089,Soccer Field
Norwood,53.56093597,-113.4873608,Soccer Field
St Anne,53.60491919,-113.4827839,Soccer Field
Dan Knott,53.44651554,-113.4552908,Soccer Field
Kildare,53.60633791,-113.4546486,Soccer Field
Waverly,53.52332726,-113.4330378,Soccer Field
Ellerslie,53.42636136,-113.4407225,Soccer Field
Youngstown,53.54620577,-113.6043169,Soccer Field
Caernarvon,53.60892419,-113.5268062,Soccer Field
Minchau,53.46826369,-113.4070422,Soccer Field
Confederation,53.4816192,-113.5214811,Soccer Field
Keheewin,53.45068377,-113.5060974,Soccer Field
Blue Quill,53.45914191,-113.522274,Soccer Field
Steinhauer,53.46439979,-113.5073708,Soccer Field
