NAME,LATITUDE,LONGITUDE,TYPE
Foote Field,53.50313821,-113.5318783,Track Sports Field
Glengarry Park,53.59288013,-113.4736366,Track Sports Field
Austin O'Brien,53.53533369,-113.4251459,Track Sports Field
Killarney,53.59090586,-113.4844036,Track Sports Field
Jasper Place,53.52671239,-113.6056209,Track Sports Field
Avalon,53.49236398,-113.5233527,Track Sports Field
Rollie Miles,53.51076813,-113.4991107,Track Sports Field
McNally School / Forest Heights Park,53.54603635,-113.4596921,Track Sports Field
Bellevue/Eastglen Schools,53.56705973,-113.447441,Track Sports Field
Londonderry,53.60859375,-113.4451179,Track Sports Field
Coronation Park,53.56232482,-113.5582082,Track Sports Field
Confederation,53.48251673,-113.5231655,Track Sports Field
Victoria Composite High School,53.55608434,-113.4988722,Track Sports Field
Bonnie Doon,53.52453826,-113.4549067,Track Sports Field
Mill Woods Park,53.45468248,-113.4465247,Track Sports Field
St. Gregory's/MacDonald Schools,53.55327947,-113.5678668,Track Sports Field
WP Wagner,53.49746064,-113.454253,Track Sports Field
